X Gaze Data, Y Gaze Data, Time 
1330,492,8314385
1335,474,8314396
1335,472,8314406
1334,480,8314418
1332,476,8314430
1332,476,8314440
1332,473,8314451
1333,472,8314463
1333,471,8314473
1336,466,8314484
1336,466,8314496
1337,465,8314506
1339,464,8314522
1341,461,8314529
1341,460,8314539
1340,453,8314551
1340,453,8314563
1341,453,8314573
1348,451,8314584
1346,450,8314596
1346,449,8314606
1349,443,8314617
1354,435,8314629
1353,436,8314640
1357,435,8314652
1359,436,8314664
1359,434,8314674
1357,428,8314685
1355,426,8314696
1355,426,8314706
1354,419,8314718
1352,418,8314729
1353,419,8314739
1352,418,8314751
1348,417,8314763
1341,418,8314773
1340,418,8314784
1341,417,8314796
1343,416,8314807
1342,417,8314818
1342,415,8314829
1360,423,8314840
1360,423,8314851
1369,426,8314863
1371,427,8314873
1371,427,8314885
1367,426,8314896
1359,429,8314907
1361,427,8314917
1363,427,8314929
1361,436,8314940
1358,453,8314951
1355,457,8314963
1342,472,8314973
1334,480,8314984
1336,488,8314996
1337,489,8315007
1337,491,8315018
1333,488,8315029
1330,489,8315040
1328,486,8315051
1330,483,8315063
1330,483,8315073
1333,482,8315084
1339,482,8315096
1340,481,8315107
1336,481,8315117
1331,487,8315130
1332,488,8315140
1333,492,8315151
1336,490,8315163
1336,491,8315173
1335,493,8315184
1329,493,8315196
1329,491,8315207
1331,490,8315218
1331,490,8315230
1332,493,8315240
1332,493,8315251
1332,493,8315263
1333,497,8315273
1333,498,8315284
1332,498,8315296
1337,495,8315307
1340,492,8315317
1342,491,8315329
1347,484,8315340
1351,462,8315351
1356,405,8315362
1364,365,8315373
1379,306,8315384
1387,269,8315396
1391,257,8315407
1391,247,8315417
1400,211,8315429
1404,198,8315440
1415,201,8315451
1411,203,8315462
1413,202,8315473
1411,204,8315484
1411,208,8315495
1410,210,8315506
1407,210,8315517
1412,209,8315531
1406,208,8315540
1365,196,8315551
1328,181,8315564
1329,186,8315574
1327,188,8315583
1313,751,8317919
1313,751,8317931
1313,751,8317942
